tag,species,fate,DBH_cm,bottom (in),top,date,notes ,bottom_height_cm,top_height_cm,
3,ACRU,kill,11.7,0.27,0.08,2019-07-20,,18.5,68.5,
3,ACRU,kill,11.7,0.3,0.08,2019-07-23,,18.5,68.5,
3,ACRU,kill,11.7,0.33,0.09,2019-07-30,,18.5,68.5,
3,ACRU,kill,11.7,0.34,0.09,2019-08-07,,18.5,68.5,
3,ACRU,kill,11.7,0.37,0.1,2019-08-13,,18.5,68.5,
3,ACRU,kill,11.7,0.45,0.13,2019-11-11,,18.5,68.5,
4,ACRU,kill,12.7,0.22,0.12,2019-07-11,,26.7,77.6,
4,ACRU,kill,12.7,0.24,0.12,2019-07-16,,26.7,77.6,
4,ACRU,kill,12.7,0.27,0.11,2019-07-23,,26.7,77.6,
4,ACRU,kill,12.7,0.29,0.11,2019-07-30,,26.7,77.6,
4,ACRU,kill,12.7,0.29,0.12,2019-08-07,,26.7,77.6,
4,ACRU,kill,12.7,0.3,0.11,2019-08-13,,26.7,77.6,
4,ACRU,kill,12.7,0.36,0.11,2019-11-11,,26.7,77.6,
11,PIST,kill,13.1,0.83,0.06,2019-07-12,,54.7,106,
11,PIST,kill,13.1,0.91,0.06,2019-07-16,,54.7,106,
11,PIST,kill,13.1,1,0.09,2019-07-23,,54.7,106,
11,PIST,kill,13.1,1.08,0.15,2019-07-30,,54.7,106,
11,PIST,kill,13.1,NA,0.2,2019-08-07,,54.7,106,misread; discrepency with other dataset
11,PIST,kill,13.1,1.17,0.22,2019-08-13,,54.7,106,
11,PIST,kill,13.1,1.36,0.38,2019-11-11,,54.7,106,
50,PIST,kill,9.5,NA,0.05,2019-07-20,,63.5,116,misread; discrepency with other dataset
50,PIST,kill,9.5,0.97,0.06,2019-07-23,,63.5,116,
50,PIST,kill,9.5,1.04,0.1,2019-07-30,,63.5,116,
50,PIST,kill,9.5,1.06,0.12,2019-08-07,,63.5,116,
50,PIST,kill,9.5,1.09,NA,2019-08-13,,63.5,116,
50,PIST,kill,9.5,1.2,0.21,2019-11-11,,63.5,116,
52,PIST,kill,10.4,0.51,0.1,2019-07-12,,54,110.6,
52,PIST,kill,10.4,0.68,0.1,2019-07-16,,54,110.6,
52,PIST,kill,10.4,0.62,0.1,2019-07-23,,54,110.6,
52,PIST,kill,10.4,0.68,0.1,2019-07-30,,54,110.6,
52,PIST,kill,10.4,0.69,0.1,2019-08-07,,54,110.6,
52,PIST,kill,10.4,0.73,NA,2019-08-13,,54,110.6,
