tag,species,fate,DBH_cm,bottom (in),top,date,notes 
3,ACRU,kill,11.7,0.34,0.09,2019-08-07,
4,ACRU,kill,12.7,0.29,0.12,2019-08-07,
11,PIST,kill,13.1,0.65,0.2,2019-08-07,
50,PIST,kill,9.5,1.06,0.12,2019-08-07,
52,PIST,kill,10.4,0.69,0.1,2019-08-07,
83,PIST,kill,14.1,0.91,0.15,2019-08-07,
140,PIST,kill,15.5,NA,NA,2019-08-07,bottom misread
145,ACRU,live,10.9,-0.02,0.05,2019-08-07,
147,ACRU,live,15.8,0.14,-0.03,2019-08-07,
182,QURU,kill,34.5,0.45,0.08,2019-08-07,
196,PIST,live,15.1,0.52,0.08,2019-08-07,
204,QURU,kill,27.7,0,0,2019-08-07,
379,QURU,kill,34.9,0.04,0.01,2019-08-07,
404,QURU,live,29,0.24,0.11,2019-08-07,
436,ACRU,kill,12.9,0.28,0.08,2019-08-07,
445,POGR,live,27.5,0.3,0.05,2019-08-07,
449,ACRU,kill,14.9,0.36,0.07,2019-08-07,
459,QURU,live,34,0.31,0.07,2019-08-07,
480,POGR,kill,22,0.19,0.09,2019-08-07,
486,ACRU,kill,8.1,0.05,0.1,2019-08-07,
495,POGR,live,29.6,0.48,0.08,2019-08-07,
501,QURU,kill,29.4,0.36,0.12,2019-08-07,
506,POGR,kill,23.1,0.64,0.19,2019-08-07,
514,POGR,kill,33.6,1.1,0.55,2019-08-07,
520,QURU,kill,34.5,0.37,0.08,2019-08-07,
543,PIST,live,11.6,0.26,0.01,2019-08-07,
545,POGR,live,26.1,0.26,0.04,2019-08-07,
554,POGR,kill,28.7,0.82,0.27,2019-08-07,
557,ACRU,live,8.7,0.04,0,2019-08-07,
564,PIST,live,9.1,0.16,0.03,2019-08-07,
574,QURU,live,28.1,0.28,0.13,2019-08-07,
579,POGR,kill,20.2,0.2,0.02,2019-08-07,
2357,ACSA,live,15,0.23,0.08,2019-08-08,
2441,ACSA,live,12.5,0.07,0.09,2019-08-08,
2466,ACSA,kill,8.9,0.25,0.03,2019-08-08,
2476,ACSA,kill,14.8,0.3,0.05,2019-08-08,
2477,ACSA,kill,10.5,0.38,0.08,2019-08-08,
2496,ACSA,kill,18.7,0.18,0.06,2019-08-08,
2536,ACSA,live,32.6,0.17,0.04,2019-08-08,
2548,ACSA,kill,16.8,0.13,0.11,2019-08-08,
3,ACRU,kill,11.7,0.7,0.3,2020-07-24,
4,ACRU,kill,12.7,0.63,0.17,2020-07-24,
11,PIST,kill,13.1,1.31,0.35,2020-07-24,
50,PIST,kill,9.5,1.82,0.89,2020-07-24,
52,PIST,kill,10.4,NA,NA,2020-07-24,Bands stuck with sap 
83,PIST,kill,14.1,1.13,0.28,2020-07-24,
140,PIST,kill,15.5,1.39,0.41,2020-07-24,
145,ACRU,live,10.9,0.04,0.04,2020-07-24,
147,ACRU,live,15.8,0.22,-0.01,2020-07-24,
182,QURU,kill,34.5,0.74,0.32,2020-07-24,
196,PIST,live,15.1,0.97,0.53,2020-07-24,
204,QURU,kill,27.7,-0.02,0.01,2020-07-24,
379,QURU,kill,34.9,0.09,0,2020-07-24,
404,QURU,live,29,0.54,0.33,2020-07-24,
436,ACRU,kill,12.9,0.58,0.28,2020-07-24,
445,POGR,live,27.5,0.61,0.38,2020-07-24,
449,ACRU,kill,14.9,0.69,0.31,2020-07-24,
459,QURU,live,34,0.67,0.42,2020-07-24,
480,POGR,kill,22,0.21,0.08,2020-07-24,
486,ACRU,kill,8.1,0.15,0.13,2020-07-24,
495,POGR,live,29.6,0.95,0.43,2020-07-24,
501,QURU,kill,29.4,0.6,0.35,2020-07-24,
506,POGR,kill,23.1,1.36,0.59,2020-07-24,
514,POGR,kill,33.6,2.68,1.54,2020-07-24,
520,QURU,kill,34.5,0.69,0.38,2020-07-24,
543,PIST,live,11.6,0.72,0.25,2020-07-24,
545,POGR,live,26.1,0.46,0.17,2020-07-24,
554,POGR,kill,28.7,1.53,0.8,2020-07-24,
557,ACRU,live,8.7,0.07,0,2020-07-24,
564,PIST,live,9.1,0.38,0.18,2020-07-24,
574,QURU,live,28.1,0.7,0.55,2020-07-24,
579,POGR,kill,20.2,0.33,0.1,2020-07-24,
2357,ACSA,live,15,0.49,0.26,2020-07-27,
2441,ACSA,live,12.5,0.28,0.23,2020-07-27,
2466,ACSA,kill,8.9,0.45,0.19,2020-07-27,
2476,ACSA,kill,14.8,0.61,0.31,2020-07-27,
2477,ACSA,kill,10.5,0.94,0.45,2020-07-27,
2496,ACSA,kill,18.7,0.51,0.38,2020-07-27,
2536,ACSA,live,32.6,0.46,0.26,2020-07-27,
2548,ACSA,kill,16.8,0.14,0.08,2020-07-27,
