subplot,tag,species,DBH_cm,fate,bands_in,stump_sprouts,crown_rating,date,DOY,notes,week,,
A01E,2773,POGR,41.6,live,0.23,n/a,n/a,2020-07-27,209,,18,,READ_ME: week is literally only to produce quick figure for a lab meeting. This is the 18th week of measurements I have and my code is shit. Need to fix it! 
A01E,2781,QURU,42.6,live,NA,n/a,n/a,2020-07-27,209,,18,,
A01E,2782,QURU,38.2,kill,NA,n/a,n/a,2020-07-27,209,,18,,
A01E,2783,FAGR,16.5,kill,0.23,Y,1,2020-07-27,209,,18,,
A01E,2785,POGR,36.7,kill,2.22,N,0,2020-07-27,209,,18,,
A01E,2789,POGR,35.9,kill,2.21,N,1,2020-07-27,209,,18,,
A01E,2791,POGR,36.4,kill,0.38,N,1,2020-07-27,209,,18,,
A01E,2792,POGR,32.2,kill,1.68,N,2,2020-07-27,209,,18,,
A01E,2795,ACSA,24.5,kill,1.13,N,1,2020-07-27,209,,18,,
A01E,2798,POGR,39.5,live,1.04,n/a,n/a,2020-07-27,209,,18,,
A01E,2803,FAGR,15.5,kill,0.47,Y,1,2020-07-27,209,,18,,
A01E,2812,POGR,36.5,kill,0.61,N,1,2020-07-27,209,,18,,
A01E,2813,ACSA,8.4,kill,0.28,N,1,2020-07-27,209,,18,,
A01E,2816,ACRU,32.7,kill,0.4,Y,1,2020-07-27,209,,18,,
A01E,2817,POGR,43.8,live,NA,n/a,n/a,2020-07-27,209,,18,,
A01E,2821,FAGR,10.9,kill,0.24,Y,4,2020-07-27,209,,18,,
A01E,2826,POGR,29.1,kill,NA,n/a,n/a,2020-07-27,209,felled,18,,
A01E,2833,FAGR,19.1,kill,0.62,Y,2,2020-07-27,209,,18,,
A01E,2834,FAGR,10.2,kill,0.01,N,5,2020-07-27,209,dead,18,,
A01E,2842,ACSA,14,kill,0.48,N,1,2020-07-27,209,,18,,
A01E,2844,ACSA,11.9,kill,0.27,Y,1,2020-07-27,209,,18,,
A01E,2854,FAGR,10.4,kill,0.01,Y,5,2020-07-27,209,dead,18,,
A01E,2855,FAGR,20.8,kill,0.21,Y,2,2020-07-27,209,,18,,
A01E,2862,FAGR,25.2,kill,0.22,N,1,2020-07-27,209,,18,,
A01W,2876,FAGR,24.9,kill,,,,2020-07-27,209,,18,,
A01W,2887,FAGR,9.1,live,0.12,n/a,n/a,2020-07-27,209,,18,,
A01W,2890,ACRU,43.8,kill,0.69,Y,1,2020-07-27,209,,18,,
A01W,2897,FAGR,18.9,kill,0.29,Y,1,2020-07-27,209,,18,,
A01W,2901,ACRU,25.6,kill,0.78,Y,2,2020-07-27,209,,18,,
A01W,2916,ACSA,14.1,live,0.68,n/a,n/a,2020-07-27,209,,18,,
A01W,2920,POGR,30.3,kill,0.38,N,2,2020-07-27,209,,18,,
A01W,2924,ACSA,17,live,0.06,n/a,n/a,2020-07-27,209,,18,,
A01W,2940,FAGR,16.9,live,0.14,n/a,n/a,2020-07-27,209,,18,,
A01W,2947,POGR,37.3,kill,1.08,N,1,2020-07-27,209,,18,,
A01W,2948,POGR,34,kill,1.23,N,1,2020-07-27,209,,18,,
A01W,2951,POGR,33.9,kill,0.48,N,2,2020-07-27,209,,18,,
A01W,2953,FAGR,12.7,live,0.54,n/a,n/a,2020-07-27,209,,18,,
A01W,2954,FAGR,9.1,live,0.21,n/a,n/a,2020-07-27,209,,18,,
A01W,2958,FAGR,16.4,live,0.12,n/a,n/a,2020-07-27,209,,18,,
A01W,2959,FAGR,9.9,live,0.08,n/a,n/a,2020-07-27,209,,18,,
A01W,2967,POGR,38.6,kill,0.29,N,2,2020-07-27,209,,18,,
A01W,2969,FAGR,18.6,kill,0.13,Y,3,2020-07-27,209,,18,,
A01W,2974,POGR,32.8,kill,0.97,N,2,2020-07-27,209,,18,,
A01W,2983,ACRU,28.9,kill,0.63,N,1,2020-07-27,209,,18,,
A02E,3086,FAGR,9.8,live,0.03,n/a,n/a,2020-07-27,209,,18,,
A02E,3087,POGR,39.8,kill,0.37,N,1,2020-07-27,209,,18,,
A02E,3096,ACSA,34.6,kill,0.52,N,1,2020-07-27,209,,18,,
A02E,3104,ACSA,29.7,live,0.57,n/a,n/a,2020-07-27,209,,18,,
A02E,3105,ACSA,20.2,live,0.16,n/a,n/a,2020-07-27,209,,18,,
A02E,3109,ACRU,24,live,0.06,n/a,n/a,2020-07-27,209,,18,,
A02E,3122,FAGR,14.3,live,0.22,n/a,n/a,2020-07-27,209,,18,,
A02E,3125,POGR,44.2,kill,0.27,N,3,2020-07-27,209,,18,,
A02E,3134,FAGR,13.3,live,0.08,n/a,n/a,2020-07-27,209,,18,,
A02E,3140,ACSA,8.1,live,0.37,n/a,n/a,2020-07-27,209,,18,,
A02E,3141,ACSA,8.7,live,0.31,n/a,n/a,2020-07-27,209,,18,,
A02E,3142,ACSA,8.9,live,0.01,n/a,n/a,2020-07-27,209,,18,,
A02E,3148,FAGR,16.8,live,0.31,n/a,n/a,2020-07-27,209,,18,,
A02E,3152,POGR,50.4,kill,1.15,N,1,2020-07-27,209,,18,,
A02E,3155,ACSA,19.6,live,0.94,n/a,n/a,2020-07-27,209,,18,,
A02E,3162,ACSA,19.5,live,0.5,n/a,n/a,2020-07-27,209,,18,,
A02W,2988,ACSA,10.4,kill,0.25,N,2,2020-07-27,209,,18,,
A02W,2991,FAGR,21.8,kill,0.11,Y,3,2020-07-27,209,,18,,
A02W,2993,ACSA,12.4,kill,0.56,N,1,2020-07-27,209,,18,,
A02W,2998,FAGR,14.8,kill,0.1,N,3,2020-07-27,209,,18,,
A02W,3004,ACSA,34.2,kill,0.45,N,1,2020-07-27,209,,18,,
A02W,3011,FAGR,9.1,kill,0,Y,5,2020-07-27,209,dead,18,,
A02W,3012,ACSA,14.3,kill,0.27,N,5,2020-07-27,209,dead,18,,
A02W,3017,FAGR,28.2,kill,0.36,Y,2,2020-07-27,209,,18,,
A02W,3028,POGR,44.4,live,0.6,n/a,n/a,2020-07-27,209,,18,,
A02W,3030,POGR,36.5,live,0.57,n/a,n/a,2020-07-27,209,,18,,
A02W,3033,ACSA,8.4,kill,0.32,N,2,2020-07-27,209,,18,,
A02W,3050,ACPE,8,kill,0.65,Y,5,2020-07-27,209,dead,18,,
A02W,3051,POGR,34.3,kill,0.85,N,1,2020-07-27,209,,18,,
A02W,3057,POGR,42.6,live,0.68,n/a,n/a,2020-07-27,209,,18,,
A02W,3059,ACSA,8.1,kill,0.37,N,3,2020-07-27,209,,18,,
A02W,3062,ACSA,22,kill,0.78,Y,1,2020-07-27,209,,18,,
A02W,3063,POGR,33.9,kill,0.83,N,1,2020-07-27,209,,18,,
A02W,3070,POGR,39.3,live,0.67,n/a,n/a,2020-07-27,209,,18,,
A02W,3073,ACRU,23.9,kill,0.05,Y,1,2020-07-27,209,,18,,
A02W,3079,POGR,46.6,live,0.78,n/a,n/a,2020-07-27,209,,18,,
A03E,2466,ACSA,8.9,kill,0.45,N,1,2020-07-27,209,,18,,
A03E,2469,POGR,46,live,0.82,n/a,n/a,2020-07-27,209,,18,,
A03E,2476,ACSA,14.8,kill,0.61,N,2,2020-07-27,209,,18,,
A03E,2477,ACSA,10.5,kill,0.94,Y,1,2020-07-27,209,,18,,
A03E,2489,FAGR,12.6,kill,0.05,Y,5,2020-07-27,209,dead,18,,
A03E,2492,FAGR,22.9,kill,0.29,Y,2,2020-07-27,209,,18,,
A03E,2496,ACSA,18.7,kill,0.51,N,1,2020-07-27,209,,18,,
A03E,2498,FAGR,28.1,kill,0.43,Y,2,2020-07-27,209,,18,,
A03E,2501,FAGR,13.4,kill,0.03,Y,5,2020-07-27,209,dead,18,,
A03E,2503,ACSA,15.1,kill,0.63,N,1,2020-07-27,209,,18,,
A03E,2510,FAGR,9,kill,-0.01,N,5,2020-07-27,209,dead,18,,
