"subplot_id","tag","species","band_in","date","notes"
"A01E",2773,"POGR",0,2019-05-30,"new band"
"A01E",2773,"POGR",0.01,2019-06-05,NA
"A01E",2773,"POGR",0.04,2019-06-11,NA
"A01E",2773,"POGR",0.05,2019-06-18,NA
"A01E",2773,"POGR",0.07,2019-06-26,NA
"A01E",2773,"POGR",0.08,2019-07-03,NA
"A01E",2773,"POGR",0.09,2019-07-10,NA
"A01E",2773,"POGR",0.1,2019-07-17,NA
"A01E",2773,"POGR",0.11,2019-07-24,NA
"A01E",2773,"POGR",0.11,2019-07-31,NA
"A01E",2773,"POGR",0.11,2019-08-08,NA
"A01E",2773,"POGR",0.1,2019-08-14,NA
"A01E",2773,"POGR",NA,2019-11-12,NA
"A01E",2781,"QURU",0.01,2019-05-30,"new band"
"A01E",2781,"QURU",0.02,2019-06-05,NA
"A01E",2781,"QURU",0.05,2019-06-11,"needs new sticker "
"A01E",2781,"QURU",0.06,2019-06-18,"needs new sticker "
"A01E",2781,"QURU",0.09,2019-06-26,NA
"A01E",2781,"QURU",0.1,2019-07-03,NA
"A01E",2781,"QURU",0.12,2019-07-10,NA
"A01E",2781,"QURU",0.14,2019-07-17,NA
"A01E",2781,"QURU",0.15,2019-07-24,NA
"A01E",2781,"QURU",0.17,2019-07-31,NA
"A01E",2781,"QURU",0.18,2019-08-08,NA
"A01E",2781,"QURU",0.18,2019-08-14,NA
"A01E",2781,"QURU",0.21,2019-11-12,NA
"A01E",2782,"QURU",0.04,2018-11-02,NA
"A01E",2782,"QURU",0.02,2019-04-10,NA
"A01E",2782,"QURU",0.05,2019-05-17,NA
"A01E",2782,"QURU",0.09,2019-05-24,NA
"A01E",2782,"QURU",0.09,2019-05-30,NA
"A01E",2782,"QURU",0.09,2019-06-05,NA
"A01E",2782,"QURU",0.1,2019-06-11,NA
"A01E",2782,"QURU",0.11,2019-06-18,NA
"A01E",2782,"QURU",0.11,2019-06-26,NA
"A01E",2782,"QURU",0.12,2019-07-03,NA
"A01E",2782,"QURU",0.11,2019-07-10,NA
"A01E",2782,"QURU",0.12,2019-07-17,NA
"A01E",2782,"QURU",0.12,2019-07-24,NA
"A01E",2782,"QURU",0.12,2019-07-31,NA
"A01E",2782,"QURU",0.12,2019-08-08,NA
"A01E",2782,"QURU",0.12,2019-08-14,NA
"A01E",2782,"QURU",0.17,2019-11-12,NA
