"tag","species","fate","band_in_bottom","band_in_top","date","notes"
3,"ACRU","kill",0.7,0.3,2020-07-24,NA
3,"ACRU","kill",0.78,0.33,2020-11-16,NA
4,"ACRU","kill",0.63,0.17,2020-07-24,NA
4,"ACRU","kill",0.69,0.18,2020-11-16,NA
11,"PIST","kill",1.31,0.35,2020-07-24,NA
11,"PIST","kill",1.25,0.3,2020-11-16,NA
50,"PIST","kill",1.82,0.89,2020-07-24,NA
50,"PIST","kill",1.96,1.04,2020-11-16,"new tag 422"
52,"PIST","kill",NA,NA,2020-07-24,"Bands stuck with sap "
52,"PIST","kill",0.47,0,2020-11-16,"new tag 424"
83,"PIST","kill",1.13,0.28,2020-07-24,NA
83,"PIST","kill",1.11,0.24,2020-11-16,NA
140,"PIST","kill",1.39,0.41,2020-07-24,NA
140,"PIST","kill",1.32,0.35,2020-11-16,NA
145,"ACRU","live",0.04,0.04,2020-07-24,NA
145,"ACRU","live",0.05,0.05,2020-11-16,NA
147,"ACRU","live",0.22,-0.01,2020-07-24,NA
147,"ACRU","live",0.24,0,2020-11-16,NA
182,"QURU","kill",0.74,0.32,2020-07-24,NA
182,"QURU","kill",0.76,0.33,2020-11-16,NA
196,"PIST","live",0.97,0.53,2020-07-24,NA
196,"PIST","live",1.09,0.72,2020-11-16,NA
204,"QURU","kill",-0.02,0.01,2020-07-24,NA
204,"QURU","kill",0.11,0.09,2020-11-16,NA
208,"PIST","live",0.84,0.13,2020-11-16,"new double band"
379,"QURU","kill",0.09,0,2020-07-24,NA
379,"QURU","kill",0.09,0,2020-11-16,NA
404,"QURU","live",0.54,0.33,2020-07-24,NA
404,"QURU","live",0.56,0.36,2020-11-16,NA
436,"ACRU","kill",0.58,0.28,2020-07-24,NA
436,"ACRU","kill",0.61,0.31,2020-11-16,NA
445,"POGR","live",0.61,0.38,2020-07-24,NA
445,"POGR","live",0.64,0.41,2020-11-16,NA
449,"ACRU","kill",0.69,0.31,2020-07-24,NA
449,"ACRU","kill",0.71,0.33,2020-11-16,NA
459,"QURU","live",0.67,0.42,2020-07-24,NA
459,"QURU","live",0.71,0.46,2020-11-16,NA
480,"POGR","kill",0.21,0.08,2020-07-24,NA
480,"POGR","kill",0.22,0.07,2020-11-16,NA
486,"ACRU","kill",0.15,0.13,2020-07-24,NA
486,"ACRU","kill",0.16,0.14,2020-11-16,NA
495,"POGR","live",0.95,0.43,2020-07-24,NA
495,"POGR","live",0.99,0.47,2020-11-16,NA
501,"QURU","kill",0.6,0.35,2020-07-24,NA
501,"QURU","kill",0.6,0.34,2020-11-16,NA
506,"POGR","kill",1.36,0.59,2020-07-24,NA
506,"POGR","kill",1.46,0.64,2020-11-16,NA
514,"POGR","kill",2.68,1.54,2020-07-24,NA
514,"POGR","kill",0.41,1.9,2020-11-16,NA
520,"QURU","kill",0.69,0.38,2020-07-24,NA
520,"QURU","kill",0.76,0.43,2020-11-16,NA
543,"PIST","live",0.72,0.25,2020-07-24,NA
543,"PIST","live",0.87,0.41,2020-11-16,NA
545,"POGR","live",0.46,0.17,2020-07-24,NA
545,"POGR","live",0.47,0.19,2020-11-16,NA
554,"POGR","kill",1.53,0.8,2020-07-24,NA
554,"POGR","kill",1.74,0.19,2020-11-16,NA
557,"ACRU","live",0.07,0,2020-07-24,NA
557,"ACRU","live",0.08,0,2020-11-16,NA
564,"PIST","live",0.38,0.18,2020-07-24,NA
564,"PIST","live",0.43,0.23,2020-11-16,NA
574,"QURU","live",0.7,0.55,2020-07-24,NA
574,"QURU","live",0.77,0.63,2020-11-16,NA
579,"POGR","kill",0.33,0.1,2020-07-24,NA
579,"POGR","kill",0.31,0.1,2020-11-16,"felled"
2357,"ACSA","live",0.49,0.26,2020-07-27,NA
2357,"ACSA","live",0.59,0.34,2020-11-18,NA
2441,"ACSA","live",0.28,0.23,2020-07-27,NA
2441,"ACSA","live",0.36,0.3,2020-11-18,NA
2466,"ACSA","kill",0.45,0.19,2020-07-27,NA
2466,"ACSA","kill",0.47,0.2,2020-11-18,NA
2476,"ACSA","kill",0.61,0.31,2020-07-27,NA
2476,"ACSA","kill",0.65,0.33,2020-11-18,NA
2477,"ACSA","kill",0.94,0.45,2020-07-27,NA
2477,"ACSA","kill",1.04,0.56,2020-11-18,NA
2496,"ACSA","kill",0.51,0.38,2020-07-27,NA
2496,"ACSA","kill",0.57,0.43,2020-11-18,NA
2536,"ACSA","live",0.46,0.26,2020-07-27,NA
2536,"ACSA","live",0.47,0.28,2020-11-18,NA
2548,"ACSA","kill",0.14,0.08,2020-07-27,NA
2548,"ACSA","kill",0.13,0.06,2020-11-18,NA
