subplot,replicate,severity,treatment,tag,species,DBH_cm,dbh.class,health_s,canopy,leaf.area,latitude,longitude,a,b,fate,bands_in,date,DOY,week,notes,lai_dist
A01E,A,0.85,bottom,2773,POGR,41.6,,L,OD,206.9783824,45.5637089,-84.7283458,0.1387,2.3498,live,0,5/30/2019,150,5,new band,no
A01E,A,0.85,bottom,2773,POGR,41.6,,L,OD,206.9783824,45.5637089,-84.7283458,0.1387,2.3498,live,0.01,6/5/2019,156,6,,yes
A01E,A,0.85,bottom,2773,POGR,41.6,,L,OD,206.9783824,45.5637089,-84.7283458,0.1387,2.3498,live,0.04,6/11/2019,162,7,,
A01E,A,0.85,bottom,2773,POGR,41.6,,L,OD,206.9783824,45.5637089,-84.7283458,0.1387,2.3498,live,0.05,6/18/2019,169,8,,
A01E,A,0.85,bottom,2773,POGR,41.6,,L,OD,206.9783824,45.5637089,-84.7283458,0.1387,2.3498,live,0.07,6/26/2019,177,9,,
A01E,A,0.85,bottom,2773,POGR,41.6,,L,OD,206.9783824,45.5637089,-84.7283458,0.1387,2.3498,live,0.08,7/3/2019,184,10,,
A01E,A,0.85,bottom,2773,POGR,41.6,,L,OD,206.9783824,45.5637089,-84.7283458,0.1387,2.3498,live,0.09,7/10/2019,191,11,,
A01E,A,0.85,bottom,2773,POGR,41.6,,L,OD,206.9783824,45.5637089,-84.7283458,0.1387,2.3498,live,0.1,7/17/2019,198,12,,
A01E,A,0.85,bottom,2773,POGR,41.6,,L,OD,206.9783824,45.5637089,-84.7283458,0.1387,2.3498,live,0.11,7/24/2019,205,13,,
A01E,A,0.85,bottom,2773,POGR,41.6,,L,OD,206.9783824,45.5637089,-84.7283458,0.1387,2.3498,live,0.11,7/31/2019,212,14,,
A01E,A,0.85,bottom,2773,POGR,41.6,,L,OD,206.9783824,45.5637089,-84.7283458,0.1387,2.3498,live,0.11,8/8/2019,220,15,,
A01E,A,0.85,bottom,2773,POGR,41.6,,L,OD,206.9783824,45.5637089,-84.7283458,0.1387,2.3498,live,0.1,8/14/2019,226,16,,
A01E,A,0.85,bottom,2773,POGR,41.6,,L,OD,206.9783824,45.5637089,-84.7283458,0.1387,2.3498,live,NA,11/12/2019,316,17,,
A01E,A,0.85,bottom,2781,QURU,42.6,,L,OD,160.0739082,45.5637831,-84.7283018,0.0398,2.7734,live,0.01,5/30/2019,150,5,new band,no
A01E,A,0.85,bottom,2781,QURU,42.6,,L,OD,160.0739082,45.5637831,-84.7283018,0.0398,2.7734,live,0.02,6/5/2019,156,6,,yes
A01E,A,0.85,bottom,2781,QURU,42.6,,L,OD,160.0739082,45.5637831,-84.7283018,0.0398,2.7734,live,0.05,6/11/2019,162,7,needs new sticker ,
A01E,A,0.85,bottom,2781,QURU,42.6,,L,OD,160.0739082,45.5637831,-84.7283018,0.0398,2.7734,live,0.06,6/18/2019,169,8,needs new sticker ,
A01E,A,0.85,bottom,2781,QURU,42.6,,L,OD,160.0739082,45.5637831,-84.7283018,0.0398,2.7734,live,0.09,6/26/2019,177,9,,
A01E,A,0.85,bottom,2781,QURU,42.6,,L,OD,160.0739082,45.5637831,-84.7283018,0.0398,2.7734,live,0.1,7/3/2019,184,10,,
A01E,A,0.85,bottom,2781,QURU,42.6,,L,OD,160.0739082,45.5637831,-84.7283018,0.0398,2.7734,live,0.12,7/10/2019,191,11,,
A01E,A,0.85,bottom,2781,QURU,42.6,,L,OD,160.0739082,45.5637831,-84.7283018,0.0398,2.7734,live,0.14,7/17/2019,198,12,,
A01E,A,0.85,bottom,2781,QURU,42.6,,L,OD,160.0739082,45.5637831,-84.7283018,0.0398,2.7734,live,0.15,7/24/2019,205,13,,
A01E,A,0.85,bottom,2781,QURU,42.6,,L,OD,160.0739082,45.5637831,-84.7283018,0.0398,2.7734,live,0.17,7/31/2019,212,14,,
A01E,A,0.85,bottom,2781,QURU,42.6,,L,OD,160.0739082,45.5637831,-84.7283018,0.0398,2.7734,live,0.18,8/8/2019,220,15,,
A01E,A,0.85,bottom,2781,QURU,42.6,,L,OD,160.0739082,45.5637831,-84.7283018,0.0398,2.7734,live,0.18,8/14/2019,226,16,,
A01E,A,0.85,bottom,2781,QURU,42.6,,L,OD,160.0739082,45.5637831,-84.7283018,0.0398,2.7734,live,0.21,11/12/2019,316,17,,
A01E,A,0.85,bottom,2782,QURU,38.2,38-43,L,OD,136.5940477,45.5637461,-84.7281962,0.0398,2.7734,kill,0.04,11/2/2018,306,1,,
A01E,A,0.85,bottom,2782,QURU,38.2,38-43,L,OD,136.5940477,45.5637461,-84.7281962,0.0398,2.7734,kill,0.02,4/10/2019,100,2,,no
A01E,A,0.85,bottom,2782,QURU,38.2,38-43,L,OD,136.5940477,45.5637461,-84.7281962,0.0398,2.7734,kill,0.05,5/17/2019,137,3,,no
A01E,A,0.85,bottom,2782,QURU,38.2,38-43,L,OD,136.5940477,45.5637461,-84.7281962,0.0398,2.7734,kill,0.09,5/24/2019,144,4,,no
A01E,A,0.85,bottom,2782,QURU,38.2,38-43,L,OD,136.5940477,45.5637461,-84.7281962,0.0398,2.7734,kill,0.09,5/30/2019,150,5,,no
A01E,A,0.85,bottom,2782,QURU,38.2,38-43,L,OD,136.5940477,45.5637461,-84.7281962,0.0398,2.7734,kill,0.09,6/5/2019,156,6,,yes
A01E,A,0.85,bottom,2782,QURU,38.2,38-43,L,OD,136.5940477,45.5637461,-84.7281962,0.0398,2.7734,kill,0.1,6/11/2019,162,7,,
A01E,A,0.85,bottom,2782,QURU,38.2,38-43,L,OD,136.5940477,45.5637461,-84.7281962,0.0398,2.7734,kill,0.11,6/18/2019,169,8,,
A01E,A,0.85,bottom,2782,QURU,38.2,38-43,L,OD,136.5940477,45.5637461,-84.7281962,0.0398,2.7734,kill,0.11,6/26/2019,177,9,,
A01E,A,0.85,bottom,2782,QURU,38.2,38-43,L,OD,136.5940477,45.5637461,-84.7281962,0.0398,2.7734,kill,0.12,7/3/2019,184,10,,
A01E,A,0.85,bottom,2782,QURU,38.2,38-43,L,OD,136.5940477,45.5637461,-84.7281962,0.0398,2.7734,kill,0.11,7/10/2019,191,11,,
A01E,A,0.85,bottom,2782,QURU,38.2,38-43,L,OD,136.5940477,45.5637461,-84.7281962,0.0398,2.7734,kill,0.12,7/17/2019,198,12,,
A01E,A,0.85,bottom,2782,QURU,38.2,38-43,L,OD,136.5940477,45.5637461,-84.7281962,0.0398,2.7734,kill,0.12,7/24/2019,205,13,,
A01E,A,0.85,bottom,2782,QURU,38.2,38-43,L,OD,136.5940477,45.5637461,-84.7281962,0.0398,2.7734,kill,0.12,7/31/2019,212,14,,
A01E,A,0.85,bottom,2782,QURU,38.2,38-43,L,OD,136.5940477,45.5637461,-84.7281962,0.0398,2.7734,kill,0.12,8/8/2019,220,15,,
A01E,A,0.85,bottom,2782,QURU,38.2,38-43,L,OD,136.5940477,45.5637461,-84.7281962,0.0398,2.7734,kill,0.12,8/14/2019,226,16,,
A01E,A,0.85,bottom,2782,QURU,38.2,38-43,L,OD,136.5940477,45.5637461,-84.7281962,0.0398,2.7734,kill,0.17,11/12/2019,316,17,,
A01E,A,0.85,bottom,2783,FAGR,16.5,13-18,L,OS,78.75679597,45.5637514,-84.7282503,0.1892,2.3097,kill,0.03,11/2/2018,306,1,,
A01E,A,0.85,bottom,2783,FAGR,16.5,13-18,L,OS,78.75679597,45.5637514,-84.7282503,0.1892,2.3097,kill,0.01,4/10/2019,100,2,,no
A01E,A,0.85,bottom,2783,FAGR,16.5,13-18,L,OS,78.75679597,45.5637514,-84.7282503,0.1892,2.3097,kill,0.02,5/17/2019,137,3,,no
A01E,A,0.85,bottom,2783,FAGR,16.5,13-18,L,OS,78.75679597,45.5637514,-84.7282503,0.1892,2.3097,kill,0.02,5/24/2019,144,4,,no
A01E,A,0.85,bottom,2783,FAGR,16.5,13-18,L,OS,78.75679597,45.5637514,-84.7282503,0.1892,2.3097,kill,0.02,5/30/2019,150,5,,no
A01E,A,0.85,bottom,2783,FAGR,16.5,13-18,L,OS,78.75679597,45.5637514,-84.7282503,0.1892,2.3097,kill,0.02,6/5/2019,156,6,,yes
A01E,A,0.85,bottom,2783,FAGR,16.5,13-18,L,OS,78.75679597,45.5637514,-84.7282503,0.1892,2.3097,kill,0.02,6/11/2019,162,7,,
A01E,A,0.85,bottom,2783,FAGR,16.5,13-18,L,OS,78.75679597,45.5637514,-84.7282503,0.1892,2.3097,kill,0.02,6/18/2019,169,8,,
A01E,A,0.85,bottom,2783,FAGR,16.5,13-18,L,OS,78.75679597,45.5637514,-84.7282503,0.1892,2.3097,kill,0.03,6/26/2019,177,9,,
A01E,A,0.85,bottom,2783,FAGR,16.5,13-18,L,OS,78.75679597,45.5637514,-84.7282503,0.1892,2.3097,kill,0.04,7/3/2019,184,10,,
A01E,A,0.85,bottom,2783,FAGR,16.5,13-18,L,OS,78.75679597,45.5637514,-84.7282503,0.1892,2.3097,kill,0.06,7/10/2019,191,11,,
A01E,A,0.85,bottom,2783,FAGR,16.5,13-18,L,OS,78.75679597,45.5637514,-84.7282503,0.1892,2.3097,kill,0.08,7/17/2019,198,12,,
A01E,A,0.85,bottom,2783,FAGR,16.5,13-18,L,OS,78.75679597,45.5637514,-84.7282503,0.1892,2.3097,kill,0.09,7/24/2019,205,13,,
A01E,A,0.85,bottom,2783,FAGR,16.5,13-18,L,OS,78.75679597,45.5637514,-84.7282503,0.1892,2.3097,kill,0.1,7/31/2019,212,14,,
A01E,A,0.85,bottom,2783,FAGR,16.5,13-18,L,OS,78.75679597,45.5637514,-84.7282503,0.1892,2.3097,kill,0.1,8/8/2019,220,15,,
A01E,A,0.85,bottom,2783,FAGR,16.5,13-18,L,OS,78.75679597,45.5637514,-84.7282503,0.1892,2.3097,kill,0.1,8/14/2019,226,16,,
A01E,A,0.85,bottom,2783,FAGR,16.5,13-18,L,OS,78.75679597,45.5637514,-84.7282503,0.1892,2.3097,kill,0.12,11/12/2019,316,17,,
A01E,A,0.85,bottom,2785,POGR,36.7,33-38,L,OD,155.6334546,45.5637211,-84.7282257,0.1387,2.3498,kill,0.05,11/2/2018,306,1,,
A01E,A,0.85,bottom,2785,POGR,36.7,33-38,L,OD,155.6334546,45.5637211,-84.7282257,0.1387,2.3498,kill,0.04,4/10/2019,100,2,,no
A01E,A,0.85,bottom,2785,POGR,36.7,33-38,L,OD,155.6334546,45.5637211,-84.7282257,0.1387,2.3498,kill,0.05,5/17/2019,137,3,,no
A01E,A,0.85,bottom,2785,POGR,36.7,33-38,L,OD,155.6334546,45.5637211,-84.7282257,0.1387,2.3498,kill,0.05,5/24/2019,144,4,,no
A01E,A,0.85,bottom,2785,POGR,36.7,33-38,L,OD,155.6334546,45.5637211,-84.7282257,0.1387,2.3498,kill,0.05,5/30/2019,150,5,,no
A01E,A,0.85,bottom,2785,POGR,36.7,33-38,L,OD,155.6334546,45.5637211,-84.7282257,0.1387,2.3498,kill,0.05,6/5/2019,156,6,,yes
A01E,A,0.85,bottom,2785,POGR,36.7,33-38,L,OD,155.6334546,45.5637211,-84.7282257,0.1387,2.3498,kill,0.09,6/11/2019,162,7,,
A01E,A,0.85,bottom,2785,POGR,36.7,33-38,L,OD,155.6334546,45.5637211,-84.7282257,0.1387,2.3498,kill,0.1,6/18/2019,169,8,,
A01E,A,0.85,bottom,2785,POGR,36.7,33-38,L,OD,155.6334546,45.5637211,-84.7282257,0.1387,2.3498,kill,0.19,6/26/2019,177,9,,
A01E,A,0.85,bottom,2785,POGR,36.7,33-38,L,OD,155.6334546,45.5637211,-84.7282257,0.1387,2.3498,kill,0.32,7/3/2019,184,10,,
A01E,A,0.85,bottom,2785,POGR,36.7,33-38,L,OD,155.6334546,45.5637211,-84.7282257,0.1387,2.3498,kill,0.44,7/10/2019,191,11,,
A01E,A,0.85,bottom,2785,POGR,36.7,33-38,L,OD,155.6334546,45.5637211,-84.7282257,0.1387,2.3498,kill,0.58,7/17/2019,198,12,,
A01E,A,0.85,bottom,2785,POGR,36.7,33-38,L,OD,155.6334546,45.5637211,-84.7282257,0.1387,2.3498,kill,0.71,7/24/2019,205,13,,
A01E,A,0.85,bottom,2785,POGR,36.7,33-38,L,OD,155.6334546,45.5637211,-84.7282257,0.1387,2.3498,kill,0.84,7/31/2019,212,14,,
A01E,A,0.85,bottom,2785,POGR,36.7,33-38,L,OD,155.6334546,45.5637211,-84.7282257,0.1387,2.3498,kill,0.97,8/8/2019,220,15,,
A01E,A,0.85,bottom,2785,POGR,36.7,33-38,L,OD,155.6334546,45.5637211,-84.7282257,0.1387,2.3498,kill,1.04,8/14/2019,226,16,,
A01E,A,0.85,bottom,2785,POGR,36.7,33-38,L,OD,155.6334546,45.5637211,-84.7282257,0.1387,2.3498,kill,1.14,11/12/2019,316,17,,
A01E,A,0.85,bottom,2789,POGR,35.9,33-38,L,OD,148.0224308,45.5636891,-84.728265,0.1387,2.3498,kill,0.04,11/2/2018,306,1,,
A01E,A,0.85,bottom,2789,POGR,35.9,33-38,L,OD,148.0224308,45.5636891,-84.728265,0.1387,2.3498,kill,0.04,4/10/2019,100,2,,no
A01E,A,0.85,bottom,2789,POGR,35.9,33-38,L,OD,148.0224308,45.5636891,-84.728265,0.1387,2.3498,kill,0.05,5/17/2019,137,3,,no
A01E,A,0.85,bottom,2789,POGR,35.9,33-38,L,OD,148.0224308,45.5636891,-84.728265,0.1387,2.3498,kill,0.05,5/24/2019,144,4,,no
A01E,A,0.85,bottom,2789,POGR,35.9,33-38,L,OD,148.0224308,45.5636891,-84.728265,0.1387,2.3498,kill,0.05,5/30/2019,150,5,,no
A01E,A,0.85,bottom,2789,POGR,35.9,33-38,L,OD,148.0224308,45.5636891,-84.728265,0.1387,2.3498,kill,0.06,6/5/2019,156,6,,yes
A01E,A,0.85,bottom,2789,POGR,35.9,33-38,L,OD,148.0224308,45.5636891,-84.728265,0.1387,2.3498,kill,0.08,6/11/2019,162,7,,
A01E,A,0.85,bottom,2789,POGR,35.9,33-38,L,OD,148.0224308,45.5636891,-84.728265,0.1387,2.3498,kill,0.09,6/18/2019,169,8,,
A01E,A,0.85,bottom,2789,POGR,35.9,33-38,L,OD,148.0224308,45.5636891,-84.728265,0.1387,2.3498,kill,0.16,6/26/2019,177,9,,
A01E,A,0.85,bottom,2789,POGR,35.9,33-38,L,OD,148.0224308,45.5636891,-84.728265,0.1387,2.3498,kill,0.25,7/3/2019,184,10,,
A01E,A,0.85,bottom,2789,POGR,35.9,33-38,L,OD,148.0224308,45.5636891,-84.728265,0.1387,2.3498,kill,0.35,7/10/2019,191,11,,
A01E,A,0.85,bottom,2789,POGR,35.9,33-38,L,OD,148.0224308,45.5636891,-84.728265,0.1387,2.3498,kill,0.47,7/17/2019,198,12,,
A01E,A,0.85,bottom,2789,POGR,35.9,33-38,L,OD,148.0224308,45.5636891,-84.728265,0.1387,2.3498,kill,0.6,7/24/2019,205,13,,
A01E,A,0.85,bottom,2789,POGR,35.9,33-38,L,OD,148.0224308,45.5636891,-84.728265,0.1387,2.3498,kill,0.73,7/31/2019,212,14,,
A01E,A,0.85,bottom,2789,POGR,35.9,33-38,L,OD,148.0224308,45.5636891,-84.728265,0.1387,2.3498,kill,0.88,8/8/2019,220,15,,
A01E,A,0.85,bottom,2789,POGR,35.9,33-38,L,OD,148.0224308,45.5636891,-84.728265,0.1387,2.3498,kill,0.96,8/14/2019,226,16,,
A01E,A,0.85,bottom,2789,POGR,35.9,33-38,L,OD,148.0224308,45.5636891,-84.728265,0.1387,2.3498,kill,1.15,11/12/2019,316,17,,
A01E,A,0.85,bottom,2791,POGR,36.4,33-38,L,OD,152.7542524,45.5636771,-84.7282787,0.1387,2.3498,kill,0.04,11/2/2018,306,1,,
A01E,A,0.85,bottom,2791,POGR,36.4,33-38,L,OD,152.7542524,45.5636771,-84.7282787,0.1387,2.3498,kill,0.01,4/10/2019,100,2,,no
A01E,A,0.85,bottom,2791,POGR,36.4,33-38,L,OD,152.7542524,45.5636771,-84.7282787,0.1387,2.3498,kill,0.01,5/17/2019,137,3,,no
A01E,A,0.85,bottom,2791,POGR,36.4,33-38,L,OD,152.7542524,45.5636771,-84.7282787,0.1387,2.3498,kill,0.02,5/24/2019,144,4,,no
A01E,A,0.85,bottom,2791,POGR,36.4,33-38,L,OD,152.7542524,45.5636771,-84.7282787,0.1387,2.3498,kill,0.03,5/30/2019,150,5,,no
A01E,A,0.85,bottom,2791,POGR,36.4,33-38,L,OD,152.7542524,45.5636771,-84.7282787,0.1387,2.3498,kill,0.03,6/5/2019,156,6,,yes
A01E,A,0.85,bottom,2791,POGR,36.4,33-38,L,OD,152.7542524,45.5636771,-84.7282787,0.1387,2.3498,kill,0.04,6/11/2019,162,7,,
A01E,A,0.85,bottom,2791,POGR,36.4,33-38,L,OD,152.7542524,45.5636771,-84.7282787,0.1387,2.3498,kill,0.05,6/18/2019,169,8,,
A01E,A,0.85,bottom,2791,POGR,36.4,33-38,L,OD,152.7542524,45.5636771,-84.7282787,0.1387,2.3498,kill,0.06,6/26/2019,177,9,,
A01E,A,0.85,bottom,2791,POGR,36.4,33-38,L,OD,152.7542524,45.5636771,-84.7282787,0.1387,2.3498,kill,0.07,7/3/2019,184,10,,
A01E,A,0.85,bottom,2791,POGR,36.4,33-38,L,OD,152.7542524,45.5636771,-84.7282787,0.1387,2.3498,kill,0.08,7/10/2019,191,11,,
A01E,A,0.85,bottom,2791,POGR,36.4,33-38,L,OD,152.7542524,45.5636771,-84.7282787,0.1387,2.3498,kill,0.1,7/17/2019,198,12,,
A01E,A,0.85,bottom,2791,POGR,36.4,33-38,L,OD,152.7542524,45.5636771,-84.7282787,0.1387,2.3498,kill,0.1,7/24/2019,205,13,,
A01E,A,0.85,bottom,2791,POGR,36.4,33-38,L,OD,152.7542524,45.5636771,-84.7282787,0.1387,2.3498,kill,0.11,7/31/2019,212,14,,
A01E,A,0.85,bottom,2791,POGR,36.4,33-38,L,OD,152.7542524,45.5636771,-84.7282787,0.1387,2.3498,kill,0.11,8/8/2019,220,15,,
A01E,A,0.85,bottom,2791,POGR,36.4,33-38,L,OD,152.7542524,45.5636771,-84.7282787,0.1387,2.3498,kill,0.14,8/14/2019,226,16,,
A01E,A,0.85,bottom,2791,POGR,36.4,33-38,L,OD,152.7542524,45.5636771,-84.7282787,0.1387,2.3498,kill,NA,11/12/2019,316,17,,
A01E,A,0.85,bottom,2792,POGR,32.2,28-33,L,OD,115.5739002,45.5636871,-84.7282307,0.1387,2.3498,kill,0.08,11/2/2018,306,1,,
A01E,A,0.85,bottom,2792,POGR,32.2,28-33,L,OD,115.5739002,45.5636871,-84.7282307,0.1387,2.3498,kill,0.04,4/10/2019,100,2,,no
A01E,A,0.85,bottom,2792,POGR,32.2,28-33,L,OD,115.5739002,45.5636871,-84.7282307,0.1387,2.3498,kill,0.05,5/17/2019,137,3,,no
A01E,A,0.85,bottom,2792,POGR,32.2,28-33,L,OD,115.5739002,45.5636871,-84.7282307,0.1387,2.3498,kill,0.05,5/24/2019,144,4,,no
A01E,A,0.85,bottom,2792,POGR,32.2,28-33,L,OD,115.5739002,45.5636871,-84.7282307,0.1387,2.3498,kill,0.06,5/30/2019,150,5,,no
A01E,A,0.85,bottom,2792,POGR,32.2,28-33,L,OD,115.5739002,45.5636871,-84.7282307,0.1387,2.3498,kill,0.06,6/5/2019,156,6,,yes
A01E,A,0.85,bottom,2792,POGR,32.2,28-33,L,OD,115.5739002,45.5636871,-84.7282307,0.1387,2.3498,kill,0.09,6/11/2019,162,7,,
A01E,A,0.85,bottom,2792,POGR,32.2,28-33,L,OD,115.5739002,45.5636871,-84.7282307,0.1387,2.3498,kill,0.1,6/18/2019,169,8,,
A01E,A,0.85,bottom,2792,POGR,32.2,28-33,L,OD,115.5739002,45.5636871,-84.7282307,0.1387,2.3498,kill,0.16,6/26/2019,177,9,,
A01E,A,0.85,bottom,2792,POGR,32.2,28-33,L,OD,115.5739002,45.5636871,-84.7282307,0.1387,2.3498,kill,0.22,7/3/2019,184,10,,
A01E,A,0.85,bottom,2792,POGR,32.2,28-33,L,OD,115.5739002,45.5636871,-84.7282307,0.1387,2.3498,kill,0.3,7/10/2019,191,11,,
A01E,A,0.85,bottom,2792,POGR,32.2,28-33,L,OD,115.5739002,45.5636871,-84.7282307,0.1387,2.3498,kill,0.38,7/17/2019,198,12,,
A01E,A,0.85,bottom,2792,POGR,32.2,28-33,L,OD,115.5739002,45.5636871,-84.7282307,0.1387,2.3498,kill,0.46,7/24/2019,205,13,,
A01E,A,0.85,bottom,2792,POGR,32.2,28-33,L,OD,115.5739002,45.5636871,-84.7282307,0.1387,2.3498,kill,0.55,7/31/2019,212,14,,
A01E,A,0.85,bottom,2792,POGR,32.2,28-33,L,OD,115.5739002,45.5636871,-84.7282307,0.1387,2.3498,kill,0.64,8/8/2019,220,15,,
A01E,A,0.85,bottom,2792,POGR,32.2,28-33,L,OD,115.5739002,45.5636871,-84.7282307,0.1387,2.3498,kill,0.7,8/14/2019,226,16,,
A01E,A,0.85,bottom,2792,POGR,32.2,28-33,L,OD,115.5739002,45.5636871,-84.7282307,0.1387,2.3498,kill,0.85,11/12/2019,316,17,,
A01E,A,0.85,bottom,2795,ACSA,24.5,23-28,L,OS,159.0713028,45.5636605,-84.72812,0.1693,2.3436,kill,0.06,11/2/2018,306,1,,
A01E,A,0.85,bottom,2795,ACSA,24.5,23-28,L,OS,159.0713028,45.5636605,-84.72812,0.1693,2.3436,kill,0.05,4/10/2019,100,2,,no
A01E,A,0.85,bottom,2795,ACSA,24.5,23-28,L,OS,159.0713028,45.5636605,-84.72812,0.1693,2.3436,kill,0.06,5/17/2019,137,3,,no
A01E,A,0.85,bottom,2795,ACSA,24.5,23-28,L,OS,159.0713028,45.5636605,-84.72812,0.1693,2.3436,kill,0.06,5/24/2019,144,4,,no
