subplot,veg_plot,species,base_D,height_budscar_cm,height_total_cm,date,,,
C02W,6,ACRU,0-1,6.8,8,2020-07-30,,,READ ME: add 0.5cm to all value les than 30cm but >= 0
C02W,8,AMEL,0-1,22.5,23,2020-07-30,,,
C02W,8,ACRU,0-1,1,3.5,2020-07-30,,,
C02W,8,AMEL,0-1,5.5,13.8,2020-07-30,,,
C02W,8,ACPE,0-1,10.5,20,2020-07-30,,,
C02W,8,ACPE,0-1,8,10.2,2020-07-30,,,
C02W,8,ACRU,0-1,4.8,5,2020-07-30,,,
C02W,2,ACRU,0-1,2,10,2020-07-30,,,
C02W,2,ACPE,0-1,40.8,74.7,2020-07-30,,,
C02W,2,AMEL,0-1,10.6,15.6,2020-07-30,,,
C02W,2,AMEL,0-1,12.4,12.8,2020-07-30,,,
C02W,2,ACRU,0-1,0,5.4,2020-07-30,,,
C02W,2,ACRU,0-1,4,5.1,2020-07-30,,,
C02W,2,ACPE,0-1,10,10.9,2020-07-30,,,
C02W,2,QURU,0-1,13.8,14.9,2020-07-30,,,
C02W,4,ACRU,0-1,6,6.6,2020-07-30,,,
C02W,4,ACPE,0-1,17.8,19.1,2020-07-30,,,
C02W,4,ACPE,0-1,18.5,19.8,2020-07-30,,,
C02W,4,PIST,0-1,28.6,29.9,2020-07-30,,,
C02W,4,ACRU,0-1,3,3.6,2020-07-30,,,
C02W,4,ACRU,0-1,3.7,5,2020-07-30,,,
C02E,6,ACRU,0-1,3.2,4.2,2020-07-30,,,
C02E,6,ACRU,0-1,3.3,3.8,2020-07-30,,,
C02E,6,ACRU,0-1,1.2,2.9,2020-07-30,,,
C02E,6,ACRU,0-1,7,8,2020-07-30,,,
C02E,6,ACRU,0-1,2.2,6.5,2020-07-30,,,
C02E,6,AMEL,0-1,0,10.9,2020-07-30,,,
C02E,6,QURU,0-1,8.1,9.1,2020-07-30,,,
C02E,6,ACRU,0-1,6.5,7.1,2020-07-30,,,
C02E,6,ACRU,0-1,3,3.6,2020-07-30,,,
C02E,6,ACRU,0-1,7.8,8,2020-07-30,,,
C02E,8,ACRU,0-1,6,7.1,2020-07-30,,,
C02E,8,ACRU,0-1,0,2.4,2020-07-30,,,
C02E,8,ACRU,0-1,0,4.1,2020-07-30,,,
C02E,8,ACRU,0-1,5,7,2020-07-30,,,
C02E,8,ACPE,0-1,16,17,2020-07-30,,,
C02E,8,ACRU,0-1,5,5.6,2020-07-30,,,
C02E,8,AMEL,0-1,11.6,11.9,2020-07-30,,,
C02E,2,AMEL,0-1,8.5,8.6,2020-07-30,,,
C02E,2,AMEL,0-1,7,7.2,2020-07-30,,,
C02E,2,AMEL,0-1,19.6,20,2020-07-30,,,
C02E,2,ACRU,0-1,12.7,12.9,2020-07-30,,,
C01W,6,ACRU,0-1,8,8.4,2020-07-30,,,
C01W,8,ACRU,0-1,3.5,3.8,2020-07-30,,,
C01W,8,FAGR,0-1,65.4,66.2,2020-07-30,,,
C01W,8,FAGR,2-Jan,131,137.9,2020-07-30,,,
C01W,2,PIST,2-Jan,4.9,5.6,2020-07-30,,,
C01W,2,ACRU,0-1,3.9,4.1,2020-07-30,,,
C01W,2,ACRU,0-1,4.6,4.8,2020-07-30,,,
C01W,4,ACRU,0-1,5.3,5.5,2020-07-30,,,
C01W,4,ACRU,0-1,8,8.7,2020-07-30,,,
C01W,4,ACRU,0-1,22.6,23.9,2020-07-30,,,
C01W,4,ACRU,0-1,25.5,25.9,2020-07-30,,,
